focus,manager,functional.bucket,location,level,num.reports.FTE,num.reports.managers,min.depth,max.depth,mean.depth,sd.depth,is.leaf,layer,num.dist.levels,manager.level,equal.dyads,align.dyads,misalign.dyads,loc.entropy,loc.herfindahl,tenure.total,tenure.manager,IsDirector,IsVP,num.dir.total.reports,org.FTE.size,org.total.size,org.FTE.yrly.growth,avg.tenure,avg.level,avg.depth,avg.span,perc.managers.single.FTE,perc.managers.two.FTE,ratio.VP.to.FTE,ratio.Dir.to.FTE,ratio.SWE.to.PM,ratio.UX.to.PM,ratio.TechPM.to.PM,num.locs,perc.manager.coloc,num.lonely.FTE,direct.report.satisfaction,VP.DIR.vision,count.VP.DIR.vision,VP.DIR.decisions,count.VP.DIR.decisions,org.climate.satisfaction,count.org.climate.satisfaction,org.climate.strong.performance,org.climate.avg.performance,avg.time.in.level,avg.promo.rate
Aaliyah,Layna,engineering,AU-SYD,6,6,0,1,1,1,0,1,5,1,8,0,6,0,0,1,6.4,1.8,0,0,6,7,7,0.4,4.9,4.4,6.9,6,0,0,0,0,0,0,0,1,1,0,0.96,0,0,0,0,1,4,0.8,0.2,1.9,0.2
Aarika,Cornel,engineering,US-SFO,5,10,0,1,1,1,0,1,7,1,7,0,10,0,0,1,4,1.9,0,0,10,11,11,0.57,3.7,4,8.9,10,0,0,0,0,0,0,0,1,1,0,0.95,0,0,0,0,0.5,8,0.5,0.5,2.2,0.1
Abdallah,Emmeline,ux team,US-NYC,7,6,4,2,2,2,0,0,5,3,8,0,11,0,0,1,5.1,4.2,0,0,6,14,16,-0.07,4.1,4.5,7.4,2.6,0.4,0.2,0,0,0,0,0,4,0.36,0,0.94,0,0,0,0,1,8,0.8,0.2,2.8,0
Abdulaziz,Nichalas,engineering,US-SFO,6,4,0,1,1,1,0,1,7,1,6,0,4,0,0,1,4,0.7,0,0,4,5,5,4,5.3,5.2,8.8,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.75,4,0.6,0.4,4.3,0.1
Abelina,Laszlo,engineering,US-SFO,8,15,3,2,2,2,0,0,5,2,8,0,19,0,0,1,11.8,6.3,1,0,16,32,39,0.14,6.5,5.2,7.5,7.8,0,0,0,32,0,0,0,3,0.94,0,0.83,0.8261,23,0.7826,23,0.82,28,0.86,0.14,3.3,0.07
Abimbola,Marianna,engineering,US-SFO,6,3,0,1,1,1,0,1,6,1,7,0,3,0,0,1,6.3,0.5,0,0,3,4,4,3,5.1,4.5,7.8,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,1.7,0.4
Abrielle,Kandace,product management,US-SFO,7,3,3,2,2,2,0,0,4,2,8,0,26,0,1.5,0.375,9.4,3.1,0,0,3,27,28,0.04,3.5,4.9,6.8,6.5,0,0,0,0,0,0,0,4,0.89,0,0.97,0,0,0,0,1,23,0.5,0.5,2.3,0
Abril,Starlett,engineering,JP-TOK,7,5,0,1,1,1,0,1,5,1,8,0,5,0,0,1,13.5,4.3,0,0,5,6,6,0,8.4,4.8,6.8,5,0,0,0,0,0,0,0,2,0.67,0,0.89,0,0,0,0,0.8,5,0.6,0.4,3.2,0.1
Ace,Coburn,product management,TW-TPE,5,5,0,1,1,1,0,1,8,1,5,0,5,0,0,1,2.2,2.2,0,0,5,6,6,0.5,2.3,3.7,9.8,5,0,0,0,0,0,0,0,2,0.83,0,0.94,0,0,0,0,1,3,0.5,0.4,1.6,0.3
Adana,Monico,product management,SG-SIN,6,4,0,1,1,1,0,1,4,1,8,0,4,0,0,1,7.3,0.2,0,0,5,5,6,4,3.7,5.2,5.8,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.7,0.3,2.5,0
